Time,Time Code,Country Name,Country Code, ,"Population, total [SP.POP.TOTL]",Net migration [SM.POP.NETM],Rural population [SP.RUR.TOTL],Urban population [SP.URB.TOTL]
,,,,Scale (Precision),Unit (0.0),Unit (0.0),Unit (0.0),Unit (0.0)
2021,YR2021,Lithuania,LTU,,2800839.0,-11853.0,889294.0,1911545.0
2021,YR2021,Luxembourg,LUX,,640064.0,6949.0,53305.0,586759.0
2021,YR2021,"Macao SAR, China",MAC,,686607.0,4004.0,0.0,686607.0
2021,YR2021,Madagascar,MDG,,28915653.0,-742.0,17578693.0,11336960.0
2021,YR2021,Malawi,MWI,,19889742.0,-1775.0,16370252.0,3519490.0
2021,YR2021,Malaysia,MYS,,33573874.0,46165.0,7488317.0,26085557.0
2021,YR2021,Maldives,MDV,,521457.0,1189.0,307128.0,214329.0
2021,YR2021,Mali,MLI,,21904983.0,-22236.0,12118494.0,9786489.0
2021,YR2021,Malta,MLT,,518536.0,10408.0,26912.0,491624.0
2021,YR2021,Marshall Islands,MHL,,42050.0,-1901.0,9183.0,32867.0
2021,YR2021,Mauritania,MRT,,4614974.0,-1494.0,2024451.0,2590523.0
2021,YR2021,Mauritius,MUS,,1266334.0,-478.0,749986.0,516348.0
2021,YR2021,Mexico,MEX,,126705138.0,-52649.0,24053703.0,102651435.0
2021,YR2021,"Micronesia, Fed. Sts.",FSM,,113131.0,-635.0,87034.0,26097.0
2021,YR2021,Moldova,MDA,,2595809.0,-14278.0,1479663.0,1116146.0
2021,YR2021,Monaco,MCO,,36686.0,206.0,0.0,36686.0
2021,YR2021,Mongolia,MNG,,3347782.0,0.0,1045010.0,2302772.0
2021,YR2021,Montenegro,MNE,,619211.0,-101.0,199225.0,419986.0
2021,YR2021,Morocco,MAR,,37076584.0,-46242.0,13323470.0,23753114.0
2021,YR2021,Mozambique,MOZ,,32077072.0,-9515.0,20007111.0,12069961.0
2021,YR2021,Myanmar,MMR,,53798084.0,-35382.0,36879663.0,16918421.0
2021,YR2021,Namibia,NAM,,2530151.0,-4301.0,1189044.0,1341107.0
2021,YR2021,Nauru,NRU,,12511.0,-66.0,0.0,12511.0
2021,YR2021,Nepal,NPL,,30034989.0,296541.0,23725239.0,6309750.0
2021,YR2021,Netherlands,NLD,,17533044.0,57439.0,1302355.0,16230689.0
2021,YR2021,New Caledonia,NCL,,270390.0,-1182.0,75912.0,194478.0
2021,YR2021,New Zealand,NZL,,5111400.0,38220.0,675267.0,4436133.0
2021,YR2021,Nicaragua,NIC,,6850540.0,-10384.0,2789745.0,4060795.0
2021,YR2021,Niger,NER,,25252722.0,-4405.0,21022639.0,4230083.0
2021,YR2021,Nigeria,NGA,,213401323.0,-76364.0,100840661.0,112560662.0
2021,YR2021,North Macedonia,MKD,,2065092.0,-486.0,851107.0,1213985.0
2021,YR2021,Northern Mariana Islands,MNP,,49481.0,-431.0,4013.0,45468.0
2021,YR2021,Norway,NOR,,5408320.0,10604.0,901946.0,4506374.0
2021,YR2021,Oman,OMN,,4520471.0,-20664.0,585672.0,3934799.0
2021,YR2021,Pakistan,PAK,,231402117.0,-471395.0,144765164.0,86636953.0
2021,YR2021,Palau,PLW,,18024.0,3.0,3338.0,14686.0
2021,YR2021,Panama,PAN,,4351267.0,5473.0,1358683.0,2992584.0
2021,YR2021,Papua New Guinea,PNG,,9949437.0,10695.0,8610641.0,1338796.0
2021,YR2021,Paraguay,PRY,,6703799.0,-8230.0,2514193.0,4189606.0
2021,YR2021,Peru,PER,,33715471.0,68012.0,7248826.0,26466645.0
2021,YR2021,Philippines,PHL,,113880328.0,-80125.0,59577632.0,54302696.0
2021,YR2021,Poland,POL,,37747124.0,-2968.0,15070539.0,22676585.0
2021,YR2021,Portugal,PRT,,10361831.0,27295.0,3435051.0,6926780.0
2021,YR2021,Puerto Rico,PRI,,3262693.0,-7408.0,209073.0,3053620.0
2021,YR2021,Qatar,QAT,,2688235.0,-30801.0,19409.0,2668826.0
2021,YR2021,Romania,ROU,,19122059.0,-12724.0,8733236.0,10388823.0
2021,YR2021,Russian Federation,RUS,,144130482.0,320617.0,36127747.0,108002735.0
